时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号,,灭火器→油箱→接地夹、焊把钳→墙壁电源→焊机电源→电压电流旋钮→待焊钢板、钢刷→焊接时手腕位置→焊机电源→墙壁电源→接地夹、焊把钳→锤子,,,,,,,
45:58.2,0.5,焊机电源,1.45,2.1,0.39,1.246,2.294,0.326,T1,,,,,,,,,
45:58.3,0.5,焊机电源,1.45,2.1,0.39,1.191,2.282,0.253,T1,,,,,,,,,
45:58.4,0.5,焊机电源,1.45,2.1,0.39,1.172,2.229,0.253,T1,,,,,,,,,
45:58.5,0.5,焊机电源,1.45,2.1,0.39,1.097,2.263,0.118,T1,,,,,,,,,
45:58.6,0.5,焊机电源,1.45,2.1,0.39,1.091,2.224,0.118,T1,,,,,,,,,
45:58.9,0.5,焊机电源,1.45,2.1,0.39,1.048,2.173,0.105,T1,,,,,,,,,
45:59.0,0.5,焊机电源,1.45,2.1,0.39,1.059,2.137,0.185,T1,,,,,,,,,
45:59.1,0.5,焊机电源,1.45,2.1,0.39,1.068,2.079,0.346,T1,,,,,,,,,
45:59.2,0.5,焊机电源,1.45,2.1,0.39,1.078,2.004,0.531,T1,,,,,,,,,
45:59.8,0.5,焊机电源,1.45,2.1,0.39,1.064,2.051,0.597,T1,,,,,,,,,
45:59.9,0.5,焊机电源,1.45,2.1,0.39,1.076,2.141,0.428,T1,,,,,,,,,
46:00.0,0.5,焊机电源,1.45,2.1,0.39,1.131,2.194,0.316,T1,,,,,,,,,
46:00.1,0.5,焊机电源,1.45,2.1,0.39,1.202,2.234,0.257,T1,,,,,,,,,
46:00.2,0.5,焊机电源,1.45,2.1,0.39,1.269,2.279,0.169,T1,,,,,,,,,
46:00.3,0.5,焊机电源,1.45,2.1,0.39,1.367,2.308,0.202,T1,,,,,,,,,
46:00.4,0.5,焊机电源,1.45,2.1,0.39,1.454,2.362,0.202,T1,,,,,,,,,
46:00.5,0.5,焊机电源,1.45,2.1,0.39,1.545,2.417,0.269,T1,,,,,,,,,
46:00.6,0.5,焊机电源,1.45,2.1,0.39,1.632,2.485,0.34,T1,,,,,,,,,
46:03.9,0.5,接地夹下端,3.02,1.53,1.61,2.595,1.433,1.451,T1,焊机检查（焊把钳接地夹）,,,,,,,,
46:04.0,0.5,焊把钳下端,3.02,1.15,1.56,2.722,1.415,1.499,T1,,,,,,,,,
46:04.0,0.5,接地夹下端,3.02,1.53,1.61,2.722,1.415,1.499,T1,,,,,,,,,
46:04.1,0.5,焊把钳下端,3.02,1.15,1.56,2.771,1.467,1.559,T1,,,,,,,,,
46:04.1,0.5,接地夹下端,3.02,1.53,1.61,2.771,1.467,1.559,T1,,,,,,,,,
46:04.2,0.5,接地夹下端,3.02,1.53,1.61,2.698,1.608,1.63,T1,,,,,,,,,
46:07.1,0.5,接地夹下端,3.02,1.53,1.61,3.006,1.938,1.885,T1,,,,,,,,,
46:07.2,0.5,接地夹下端,3.02,1.53,1.61,3.103,1.839,1.836,T1,,,,,,,,,
46:07.3,0.5,接地夹下端,3.02,1.53,1.61,3.184,1.741,1.78,T1,,,,,,,,,
46:07.4,0.5,接地夹下端,3.02,1.53,1.61,3.239,1.648,1.72,T1,,,,,,,,,
46:07.5,0.5,焊把钳下端,3.02,1.15,1.56,3.266,1.561,1.669,T1,,,,,,,,,
