时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
38:15.7,0.5,灭火器把手,2.84,0.69,0.5,2.868,0.612,0.967,T1
38:15.8,0.5,灭火器把手,2.84,0.69,0.5,2.867,0.61,0.963,T1
38:16.0,0.5,灭火器把手,2.84,0.69,0.5,2.884,0.606,0.955,T1
38:16.1,0.5,灭火器把手,2.84,0.69,0.5,2.925,0.595,0.945,T1
38:16.2,0.5,灭火器把手,2.84,0.69,0.5,2.96,0.578,0.934,T1
38:16.3,0.5,灭火器把手,2.84,0.69,0.5,2.999,0.556,0.919,T1
38:16.4,0.5,灭火器把手,2.84,0.69,0.5,3.051,0.528,0.905,T1
38:19.6,0.5,电压电流旋钮,1.56,1.5,0.37,1.937,1.511,0.652,T0
38:19.7,0.5,电压电流旋钮,1.56,1.5,0.37,1.884,1.573,0.35,T0
38:19.8,0.5,电压电流旋钮,1.56,1.5,0.37,1.863,1.595,0.042,T0
38:20.0,0.5,电压电流旋钮,1.56,1.5,0.37,1.509,1.672,0.82,T1
38:20.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.489,1.665,0.789,T1
38:20.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.47,1.625,0.823,T1
38:22.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.825,1.273,0.016,T0
38:22.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.809,1.257,0.312,T0
38:22.3,0.5,电压电流旋钮,1.56,1.5,0.37,1.797,1.242,0.6,T0
38:22.9,0.5,电压电流旋钮,1.56,1.5,0.37,1.782,1.284,0.733,T0
38:23.0,0.5,电压电流旋钮,1.56,1.5,0.37,1.796,1.301,0.712,T0
38:23.1,0.5,电压电流旋钮,1.56,1.5,0.37,1.816,1.308,0.72,T0
38:23.2,0.5,电压电流旋钮,1.56,1.5,0.37,1.825,1.33,0.747,T0
38:28.2,0.5,焊机电源,1.45,2.1,0.39,1.883,2.256,0.532,T1
38:28.4,0.5,焊机电源,1.45,2.1,0.39,1.869,2.351,0.412,T1
38:30.6,0.5,焊机电源,1.45,2.1,0.39,1.71,2.475,0.238,T1
38:30.7,0.5,焊机电源,1.45,2.1,0.39,1.681,2.393,0.38,T1
38:30.8,0.5,焊机电源,1.45,2.1,0.39,1.658,2.311,0.531,T1
38:30.9,0.5,焊机电源,1.45,2.1,0.39,1.65,2.221,0.658,T1
38:31.0,0.5,焊机电源,1.45,2.1,0.39,1.667,2.103,0.84,T1
38:31.9,0.5,接地夹下端,3.02,1.53,1.61,2.539,1.487,1.562,T1
38:32.2,0.5,接地夹下端,3.02,1.53,1.61,3.112,1.882,1.286,T0
38:32.3,0.5,接地夹下端,3.02,1.53,1.61,3.165,1.87,1.329,T0
38:32.4,0.5,接地夹下端,3.02,1.53,1.61,3.238,1.842,1.348,T0
38:32.5,0.5,接地夹下端,3.02,1.53,1.61,3.268,1.824,1.374,T0
38:32.6,0.5,接地夹下端,3.02,1.53,1.61,3.272,1.8,1.397,T0
38:32.7,0.5,接地夹下端,3.02,1.53,1.61,3.248,1.783,1.417,T0
38:32.8,0.5,接地夹下端,3.02,1.53,1.61,3.209,1.777,1.44,T0
38:32.9,0.5,接地夹下端,3.02,1.53,1.61,3.158,1.779,1.468,T0
38:33.0,0.5,接地夹下端,3.02,1.53,1.61,3.07,1.796,1.505,T0
38:33.1,0.5,接地夹下端,3.02,1.53,1.61,3.005,1.808,1.532,T0
38:33.2,0.5,接地夹下端,3.02,1.53,1.61,2.959,1.823,1.558,T0
38:33.3,0.5,接地夹下端,3.02,1.53,1.61,2.94,1.84,1.584,T0
38:33.4,0.5,接地夹下端,3.02,1.53,1.61,2.931,1.859,1.61,T0
38:33.5,0.5,接地夹下端,3.02,1.53,1.61,2.94,1.607,1.778,T0
38:33.6,0.5,接地夹下端,3.02,1.53,1.61,2.969,1.618,1.803,T0
38:33.7,0.5,接地夹下端,3.02,1.53,1.61,3.046,1.617,1.808,T0
38:33.8,0.5,接地夹下端,3.02,1.53,1.61,3.141,1.605,1.795,T0
38:33.9,0.5,接地夹下端,3.02,1.53,1.61,3.248,1.592,1.762,T0
38:34.0,0.5,接地夹下端,3.02,1.53,1.61,3.374,1.577,1.714,T0
38:37.3,0.5,接地夹下端,3.02,1.53,1.61,2.677,1.629,1.938,T1
38:37.4,0.5,接地夹下端,3.02,1.53,1.61,2.69,1.576,1.935,T1
38:37.5,0.5,接地夹下端,3.02,1.53,1.61,2.681,1.55,1.943,T1
38:39.6,0.5,焊把钳下端,3.02,1.15,1.56,3.033,0.842,1.941,T1
38:39.7,0.5,焊把钳下端,3.02,1.15,1.56,2.941,0.943,1.991,T1
38:41.4,0.5,焊把钳下端,3.02,1.15,1.56,2.857,1.25,2.012,T1
38:41.5,0.5,焊把钳下端,3.02,1.15,1.56,2.882,1.166,1.96,T1
38:41.6,0.5,焊把钳下端,3.02,1.15,1.56,2.882,1.093,1.911,T1
38:41.7,0.5,焊把钳下端,3.02,1.15,1.56,2.869,1.043,1.852,T1
38:41.8,0.5,焊把钳下端,3.02,1.15,1.56,2.849,1.029,1.782,T1
38:41.9,0.5,焊把钳下端,3.02,1.15,1.56,2.809,1.024,1.72,T1
